order,primary,invariant,classes,L,DPM,control,expected_DPM,match,counts,witness,nodes,secs,note
101,101,101,50,6,7,cyclic,7,OK,1:50;2:1225;3:18800;4:177375;5:670950;6:124850,(1) (2) (4) (8) (16) (32),7351978,1.24,
102,2+3+17,102,51,6,7,,,,1:51;2:1275;3:20008;4:194968;5:805280;6:235240,"(1,0,0) (0,1,0) (0,0,1) (0,0,2) (0,0,4) (0,0,8)",9423395,1.52,
103,103,103,51,6,7,cyclic,7,OK,1:51;2:1275;3:19992;4:193545;5:764235;6:161874,(1) (2) (4) (8) (16) (32),8584709,1.48,
104,8+13,104,52,6,7,,,,1:52;2:1326;3:21250;4:212352;5:917918;6:376720,"(1,0) (2,0) (4,0) (0,1) (0,2) (0,4)",11809212,1.84,
104,2+4+13,2+52,53,6,7,,,,1:53;2:1378;3:22575;4:233888;5:1136338;6:825200,"(1,0,0) (0,1,0) (0,2,0) (0,0,1) (0,0,2) (0,0,4)",17478122,2.54,
104,2+2+2+13,2+2+26,55,6,7,,,,1:55;2:1485;3:25380;4:280728;5:1621074;6:1995504,"(1,0,0,0) (0,1,0,0) (0,0,1,0) (0,0,0,1) (0,0,0,2) (0,0,0,4)",31483251,3.97,
105,3+5+7,105,52,6,7,,,,1:52;2:1326;3:21233;4:210723;5:863355;6:188286,"(1,0,0) (0,1,1) (0,2,1) (0,2,2) (0,4,2) (0,2,3)",9921400,1.77,
106,2+53,106,53,6,7,,,,1:53;2:1378;3:22542;4:230802;5:1035294;6:405470,"(1,0) (0,1) (0,2) (0,4) (0,8) (0,16)",13157208,2.19,
107,107,107,53,6,7,cyclic,7,OK,1:53;2:1378;3:22525;4:229172;5:981825;6:264470,(1) (2) (4) (8) (16) (32),11641522,2.09,
108,4+27,108,54,6,7,,,,1:54;2:1431;3:23885;4:250337;5:1160113;6:530508,"(1,0) (2,0) (0,1) (0,2) (0,4) (0,8)",15569717,2.76,
108,2+2+27,2+54,55,6,7,,,,1:55;2:1485;3:25315;4:274569;5:1418931;6:984006,"(1,0,0) (0,1,0) (0,0,1) (0,0,2) (0,0,4) (0,0,8)",21634847,3.70,
108,3+4+9,3+36,54,6,7,,,,1:54;2:1431;3:23884;4:250104;5:1141237;6:437616,"(1,0,0) (0,1,0) (0,2,0) (0,0,1) (0,0,2) (0,0,4)",14699388,2.60,
108,2+2+3+9,6+18,55,6,7,,,,1:55;2:1485;3:25314;4:274362;5:1406556;6:800388,"(1,0,0,0) (0,1,0,0) (0,0,1,0) (0,0,0,1) (0,0,0,2) (0,0,0,4)",19717824,3.15,
108,3+3+3+4,3+3+12,54,6,7,,,,1:54;2:1431;3:23881;4:249405;5:1084681;6:143208,"(1,0,0,0) (0,0,0,1) (0,1,0,2) (0,0,1,2) (0,1,1,2) (0,2,1,2)",11418183,1.39,
108,2+2+3+3+3,3+6+6,55,6,7,,,,1:55;2:1485;3:25311;4:273741;5:1369836;6:280800,"(1,0,0,0,0) (0,0,1,0,0) (0,1,0,1,0) (0,1,0,0,1) (0,1,0,1,1) (0,1,0,2,1)",16651651,1.95,
109,109,109,54,6,7,cyclic,7,OK,1:54;2:1431;3:23868;4:248724;5:1107756;6:333693,(1) (2) (4) (8) (16) (32),13522472,2.27,
110,2+5+11,110,55,6,7,,,,1:55;2:1485;3:25281;4:271275;5:1309484;6:641168,"(1,0,0) (0,1,0) (0,2,0) (0,0,1) (0,0,2) (0,0,4)",18082469,2.92,
111,3+37,111,55,6,7,,,,1:55;2:1485;3:25263;4:269415;5:1239021;6:391608,"(1,0) (0,1) (0,2) (0,4) (0,8) (0,16)",15389881,2.57,
112,7+16,112,56,6,7,,,,1:56;2:1540;3:26730;4:293387;5:1465824;6:803156,"(1,0) (2,0) (0,1) (0,2) (0,4) (0,8)",19062498,3.27,
112,2+7+8,2+56,57,6,7,,,,1:57;2:1596;3:28269;4:320483;5:1770416;6:1617824,"(1,0,0) (0,1,0) (0,2,0) (0,0,1) (0,0,2) (0,0,4)",27256021,4.56,
112,4+4+7,4+28,57,6,7,,,,1:57;2:1596;3:28269;4:320451;5:1775292;6:1933320,"(1,0,0) (2,0,0) (0,1,0) (0,2,0) (0,0,1) (0,0,2)",34933080,5.04,
112,2+2+4+7,2+2+28,59,6,7,,,,1:59;2:1711;3:31514;4:379043;5:2447556;6:4023336,"(1,0,0,0) (0,1,0,0) (0,0,1,0) (0,0,2,0) (0,0,0,1) (0,0,0,2)",60772363,7.83,
112,2+2+2+2+7,2+2+2+14,63,6,7,,,,1:63;2:1953;3:38700;4:515235;5:4104324;6:11648280,"(1,0,0,0,0) (0,1,0,0,0) (0,0,1,0,0) (0,0,0,1,0) (0,0,0,0,1) (0,0,0,0,2)",150224174,16.74,
113,113,113,56,6,7,cyclic,7,OK,1:56;2:1540;3:26712;4:291550;5:1398264;6:519064,(1) (2) (4) (8) (16) (32),18158341,3.17,
114,2+3+19,114,57,6,7,,,,1:57;2:1596;3:28233;4:316755;5:1629513;6:857727,"(1,0,0) (0,1,0) (0,0,1) (0,0,2) (0,0,4) (0,0,8)",23225316,3.79,
115,5+23,115,57,6,7,,,,1:57;2:1596;3:28215;4:314930;5:1566752;6:656403,"(1,0) (2,0) (0,1) (0,2) (0,4) (0,8)",21152957,3.68,
